_RAJ2000;_DEJ2000;recno;HR;Name;HD;ADS;VarID;RAJ2000;DEJ2000;Vmag;B-V;SpType;NoteFlag
045.570000; +4.089722;     911; 911; 92Alp Cet; 18884;     ;Alp Cet  ;03 02 16.8;+04 05 23; 2.53; 1.64;  M1.5IIIa          ;*
046.199167;+53.506389;     915; 915; 23Gam Per; 18925; 2324;         ;03 04 47.8;+53 30 23; 2.93; 0.70;  G8III+A2V         ;*
046.294167;+38.840278;     921; 921; 25Rho Per; 19058;     ;Rho Per  ;03 05 10.6;+38 50 25; 3.39; 1.65;  M4II              ;*
055.731250;+47.787500;    1122;1122; 39Del Per; 22928;     ;Del Per  ;03 42 55.5;+47 47 15; 3.01;-0.13;  B5IIIe            ;*
056.871250;+24.105000;    1165;1165; 25Eta Tau; 23630;     ;         ;03 47 29.1;+24 06 18; 2.87;-0.09;  B7IIIe            ;*
058.532917;+31.883611;    1203;1203; 44Zet Per; 24398; 2843; 1397    ;03 54 07.9;+31 53 01; 2.85; 0.12;  B1Ib              ;*
056.809583;-74.238889;    1208;1208;   Gam Hyi; 24512;     ;         ;03 47 14.3;-74 14 20; 3.24; 1.62;  M2III             ;*
059.463333;+40.010278;    1220;1220; 45Eps Per; 24760; 2888;Eps Per  ;03 57 51.2;+40 00 37; 2.89;-0.18;  B0.5V+A2V         ;*
059.507500;-13.508611;    1231;1231; 34Gam Eri; 25025; 2904;Gam Eri  ;03 58 01.8;-13 30 31; 2.95; 1.59;  M0.5IIICa-1Cr-1   ;*
060.170000;+12.490278;    1239;1239; 35Lam Tau; 25204;     ;Lam Tau  ;04 00 40.8;+12 29 25; 3.47;-0.12;  B3V+A4IV          ;*
063.606250;-62.473889;    1336;1336;   Alp Ret; 27256;     ;         ;04 14 25.5;-62 28 26; 3.35; 0.91;  G8II-III          ;
067.165417;+15.870833;    1412;1412; 78The2Tau; 28319;     ;The2 Tau ;04 28 39.7;+15 52 15; 3.40; 0.18;  A7III             ;*
068.499167;-55.045000;    1465;1465;   Alp Dor; 29305;     ;Alp Dor  ;04 33 59.8;-55 02 42; 3.27;-0.10;  A0IIISi           ;*
072.460000; +6.961389;    1543;1543;  1Pi 3Ori; 30652;     ; 1731    ;04 49 50.4;+06 57 41; 3.19; 0.45;  F6V               ;*
074.248333;+33.166111;    1577;1577;  3Iot Aur; 31398;     ; 1778    ;04 56 59.6;+33 09 58; 2.69; 1.53;  K3II              ;*
075.492083;+43.823333;    1605;1605;  7Eps Aur; 31964; 3605;Eps Aur  ;05 01 58.1;+43 49 24; 2.99; 0.54;  F0Iae+B           ;*
076.628750;+41.234444;    1641;1641; 10Eta Aur; 32630;     ; 1822    ;05 06 30.9;+41 14 04; 3.17;-0.18;  B3V               ;*
076.365417;-22.371111;    1654;1654;  2Eps Lep; 32887;     ; 1826    ;05 05 27.7;-22 22 16; 3.19; 1.46;  K5III             ;
076.962500; -5.086389;    1666;1666; 67Bet Eri; 33111;     ; 1841    ;05 07 51.0;-05 05 11; 2.79; 0.13;  A3III             ;*
